algorithm,scenario,metric,ql_condition,n,n_valid,mean,std,ci95_low,ci95_high,median,iqr
fuzzy_3x3,partial_shading_simple,oscillation_std_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_3x3,partial_shading_simple,settling_time_s,not_applicable,50,0,,,,,,
fuzzy_3x3,partial_shading_simple,settling_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_3x3,partial_shading_simple,tracking_efficiency_pct,not_applicable,50,50,86.51809691225222,10.563188742254187,83.51607189163953,89.52012193286491,91.25278055874604,4.374126352569348
fuzzy_3x3,rapid_double_step,convergence_time_s,not_applicable,50,50,0.05886000000000001,0.060530650019942255,0.041657379625819405,0.07606262037418061,0.035,0.081
fuzzy_3x3,rapid_double_step,convergence_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,rapid_double_step,energy_yield_j,not_applicable,50,50,507.6972124954229,7.46584592614353,505.5754425623847,509.8189824284611,511.83733562100684,5.734668494559855
fuzzy_3x3,rapid_double_step,energy_yield_ratio,not_applicable,50,50,0.9292135931542533,0.013664375829186599,0.9253302205163884,0.9330969657921183,0.9367910597838528,0.010495885709489672
fuzzy_3x3,rapid_double_step,oscillation_p2p_w,not_applicable,50,50,238.71791202339915,0.0007365293396684858,238.7177027040771,238.7181213427212,238.718123309595,0.0013955606013666966
fuzzy_3x3,rapid_double_step,oscillation_std_w,not_applicable,50,50,112.01461088646602,0.5515642805522595,111.85785805253524,112.1713637203968,111.7939879106712,0.7405410127415024
fuzzy_3x3,rapid_double_step,settling_time_s,not_applicable,50,50,0.05886000000000001,0.060530650019942255,0.041657379625819405,0.07606262037418061,0.035,0.081
fuzzy_3x3,rapid_double_step,settling_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,rapid_double_step,tracking_efficiency_pct,not_applicable,50,50,92.9213593154253,1.366437582918661,92.53302205163881,93.3096965792118,93.67910597838528,1.0495885709489698
fuzzy_3x3,rapid_fluctuation_cloud_passage,convergence_time_s,not_applicable,50,50,0.07388,0.07588784420418848,0.05231291333515302,0.09544708666484698,0.049,0.10875
fuzzy_3x3,rapid_fluctuation_cloud_passage,convergence_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,rapid_fluctuation_cloud_passage,energy_yield_j,not_applicable,50,50,813.1202642749466,8.367065663590573,810.7423705267518,815.4981580231415,817.701492280085,6.725758847655811
fuzzy_3x3,rapid_fluctuation_cloud_passage,energy_yield_ratio,not_applicable,50,50,0.9296488558561466,0.009566153203629973,0.9269301852000562,0.9323675265122371,0.9348866214862905,0.0076896300488376035
fuzzy_3x3,rapid_fluctuation_cloud_passage,oscillation_p2p_w,not_applicable,50,50,144.2336578457279,8.389781337998022,141.84930837430448,146.6180073171513,146.10676299645155,14.133630854393118
fuzzy_3x3,rapid_fluctuation_cloud_passage,oscillation_std_w,not_applicable,50,50,32.057713179288314,1.5994133740994692,31.60316492832858,32.512261430248046,32.38782257540561,2.833358958710054
fuzzy_3x3,rapid_fluctuation_cloud_passage,settling_time_s,not_applicable,50,50,0.12058000000000002,0.10809483553522692,0.08985978768591837,0.15130021231408167,0.09,0.1825
fuzzy_3x3,rapid_fluctuation_cloud_passage,settling_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,rapid_fluctuation_cloud_passage,tracking_efficiency_pct,not_applicable,50,50,92.96488558561467,0.9566153203629949,92.69301852000562,93.23675265122371,93.48866214862906,0.7689630048837728
fuzzy_3x3,sensor_noise_robustness,convergence_time_s,not_applicable,50,50,0.03738,0.03635757226802265,0.02704729230154355,0.04771270769845644,0.0295,0.0475
fuzzy_3x3,sensor_noise_robustness,convergence_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,sensor_noise_robustness,energy_yield_j,not_applicable,50,50,487.286224954727,5.025696525122452,485.85793780748776,488.71451210196625,489.37048203350514,2.8053874510181913
fuzzy_3x3,sensor_noise_robustness,energy_yield_ratio,not_applicable,50,50,0.9752356101254388,0.010058232648457207,0.9723770920386581,0.9780941282122195,0.9794069608014594,0.0056145928251638555
fuzzy_3x3,sensor_noise_robustness,oscillation_p2p_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_3x3,sensor_noise_robustness,oscillation_std_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_3x3,sensor_noise_robustness,settling_time_s,not_applicable,50,0,,,,,,
fuzzy_3x3,sensor_noise_robustness,settling_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_3x3,sensor_noise_robustness,tracking_efficiency_pct,not_applicable,50,50,97.52356101254387,1.00582326484572,97.23770920386579,97.80941282122194,97.94069608014595,0.5614592825163811
fuzzy_3x3,steady_state,convergence_time_s,not_applicable,50,50,0.05886000000000001,0.060530650019942255,0.041657379625819405,0.07606262037418061,0.035,0.081
fuzzy_3x3,steady_state,convergence_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,steady_state,energy_yield_j,not_applicable,50,50,494.69661151951414,7.465239355238073,492.5750139720197,496.8182090670086,498.83697858042626,5.734025724353728
fuzzy_3x3,steady_state,energy_yield_ratio,not_applicable,50,50,0.9900664682385465,0.014940638344567284,0.9858203858074998,0.9943125506695932,0.9983528370912,0.011475855030140925
fuzzy_3x3,steady_state,oscillation_p2p_w,not_applicable,50,50,4.486923092683312,0.945388129383718,4.218246759442436,4.755599425924188,4.766157621439632,0.2543378833929921
fuzzy_3x3,steady_state,oscillation_std_w,not_applicable,50,50,0.26899989397647667,0.06822564271159949,0.24961038087913742,0.2883894070738159,0.30145786183351475,0.0701395476642932
fuzzy_3x3,steady_state,settling_time_s,not_applicable,50,50,0.05886000000000001,0.060530650019942255,0.041657379625819405,0.07606262037418061,0.035,0.081
fuzzy_3x3,steady_state,settling_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,steady_state,tracking_efficiency_pct,not_applicable,50,50,99.00664682385467,1.494063834456729,98.58203858075,99.43125506695934,99.83528370912,1.1475855030140991
fuzzy_3x3,step_change_irradiance,convergence_time_s,not_applicable,50,50,0.05886000000000001,0.060530650019942255,0.041657379625819405,0.07606262037418061,0.035,0.081
fuzzy_3x3,step_change_irradiance,convergence_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,step_change_irradiance,energy_yield_j,not_applicable,50,50,1039.023234729572,7.466199213489166,1036.9013643933813,1041.145105065763,1043.1632067678465,5.735043503066436
