algorithm,scenario,metric,value,run_id,seed,ql_condition
p_and_o,steady_state,oscillation_std_w,0.1050458093368713,10,10,not_applicable
p_and_o,steady_state,energy_yield_j,498.8646327538298,10,10,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9984081830732752,10,10,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.97281044264749,11,11,not_applicable
p_and_o,steady_state,convergence_time_s,0.006,11,11,not_applicable
p_and_o,steady_state,settling_time_s,0.006,11,11,not_applicable
p_and_o,steady_state,oscillation_p2p_w,4.660537163158892,11,11,not_applicable
p_and_o,steady_state,oscillation_std_w,0.1115536856777007,11,11,not_applicable
p_and_o,steady_state,energy_yield_j,499.5241446571689,11,11,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9997281044264748,11,11,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.95700475758332,12,12,not_applicable
p_and_o,steady_state,convergence_time_s,0.008,12,12,not_applicable
p_and_o,steady_state,settling_time_s,0.008,12,12,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.5198941311409726,12,12,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0825166179737617,12,12,not_applicable
p_and_o,steady_state,energy_yield_j,499.4451699711775,12,12,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9995700475758332,12,12,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.98619579867136,13,13,not_applicable
p_and_o,steady_state,convergence_time_s,0.005,13,13,not_applicable
p_and_o,steady_state,settling_time_s,0.005,13,13,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.783488469401334,13,13,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0933592006007581,13,13,not_applicable
p_and_o,steady_state,energy_yield_j,499.5910259270778,13,13,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9998619579867136,13,13,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.8903078817406,14,14,not_applicable
p_and_o,steady_state,convergence_time_s,0.016,14,14,not_applicable
p_and_o,steady_state,settling_time_s,0.016,14,14,not_applicable
p_and_o,steady_state,oscillation_p2p_w,4.811341797353748,14,14,not_applicable
p_and_o,steady_state,oscillation_std_w,0.1229626144361285,14,14,not_applicable
p_and_o,steady_state,energy_yield_j,499.111912361342,14,14,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.998903078817406,14,14,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,98.7861982987686,15,15,not_applicable
p_and_o,steady_state,convergence_time_s,0.045,15,15,not_applicable
p_and_o,steady_state,settling_time_s,0.045,15,15,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.9187088093638067,15,15,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0682803548351849,15,15,not_applicable
p_and_o,steady_state,energy_yield_j,493.5951184190704,15,15,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.987861982987686,15,15,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.99811311281417,16,16,not_applicable
p_and_o,steady_state,convergence_time_s,0.0,16,16,not_applicable
p_and_o,steady_state,settling_time_s,0.0,16,16,not_applicable
p_and_o,steady_state,oscillation_p2p_w,0.4315736620453094,16,16,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0148708898226972,16,16,not_applicable
p_and_o,steady_state,energy_yield_j,499.6505719789236,16,16,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9999811311281416,16,16,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.9091625079251,17,17,not_applicable
p_and_o,steady_state,convergence_time_s,0.012,17,17,not_applicable
p_and_o,steady_state,settling_time_s,0.012,17,17,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.2621949866885984,17,17,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0518215486348693,17,17,not_applicable
p_and_o,steady_state,energy_yield_j,499.2061213865354,17,17,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9990916250792512,17,17,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.94989564067984,18,18,not_applicable
p_and_o,steady_state,convergence_time_s,0.011,18,18,not_applicable
p_and_o,steady_state,settling_time_s,0.011,18,18,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.3904588086191154,18,18,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0827051427586097,18,18,not_applicable
p_and_o,steady_state,energy_yield_j,499.4096485576574,18,18,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9994989564067984,18,18,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.63758375126665,19,19,not_applicable
p_and_o,steady_state,convergence_time_s,0.023,19,19,not_applicable
p_and_o,steady_state,settling_time_s,0.023,19,19,not_applicable
p_and_o,steady_state,oscillation_p2p_w,4.1517509082324295,19,19,not_applicable
p_and_o,steady_state,oscillation_std_w,0.099013249549077,19,19,not_applicable
p_and_o,steady_state,energy_yield_j,497.84915097101725,19,19,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9963758375126665,19,19,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,98.98868113464133,20,20,not_applicable
p_and_o,steady_state,convergence_time_s,0.04,20,20,not_applicable
p_and_o,steady_state,settling_time_s,0.04,20,20,not_applicable
p_and_o,steady_state,oscillation_p2p_w,4.640280436696372,20,20,not_applicable
p_and_o,steady_state,oscillation_std_w,0.1120013045800416,20,20,not_applicable
p_and_o,steady_state,energy_yield_j,494.6068441567909,20,20,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9898868113464132,20,20,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.93906461038613,21,21,not_applicable
p_and_o,steady_state,convergence_time_s,0.012,21,21,not_applicable
p_and_o,steady_state,settling_time_s,0.012,21,21,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.9147166819992094,21,21,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0971167340862676,21,21,not_applicable
p_and_o,steady_state,energy_yield_j,499.355530231692,21,21,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9993906461038612,21,21,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,98.81069811304648,22,22,not_applicable
p_and_o,steady_state,convergence_time_s,0.044,22,22,not_applicable
p_and_o,steady_state,settling_time_s,0.044,22,22,not_applicable
p_and_o,steady_state,oscillation_p2p_w,4.435768560269736,22,22,not_applicable
p_and_o,steady_state,oscillation_std_w,0.1067737223002197,22,22,not_applicable
p_and_o,steady_state,energy_yield_j,493.7175341910911,22,22,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9881069811304648,22,22,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,98.92491730947822,23,23,not_applicable
p_and_o,steady_state,convergence_time_s,0.042,23,23,not_applicable
p_and_o,steady_state,settling_time_s,0.042,23,23,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.838581041112519,23,23,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0662276486687701,23,23,not_applicable
p_and_o,steady_state,energy_yield_j,494.28824182798127,23,23,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9892491730947822,23,23,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.55415613733985,24,24,not_applicable
p_and_o,steady_state,convergence_time_s,0.026,24,24,not_applicable
p_and_o,steady_state,settling_time_s,0.026,24,24,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.011949580022588,24,24,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0703118137027863,24,24,not_applicable
p_and_o,steady_state,energy_yield_j,497.432296555271,24,24,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9955415613733984,24,24,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.99814621299848,25,25,not_applicable
p_and_o,steady_state,convergence_time_s,0.0,25,25,not_applicable
p_and_o,steady_state,settling_time_s,0.0,25,25,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.583034514018067,25,25,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0608826632368652,25,25,not_applicable
p_and_o,steady_state,energy_yield_j,499.6507373673045,25,25,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9999814621299848,25,25,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.46512217681264,26,26,not_applicable
p_and_o,steady_state,convergence_time_s,0.029,26,26,not_applicable
p_and_o,steady_state,settling_time_s,0.029,26,26,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.0140103200956787,26,26,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0461494624168222,26,26,not_applicable
p_and_o,steady_state,energy_yield_j,496.9874294681013,26,26,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9946512217681264,26,26,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.69956964850545,27,27,not_applicable
p_and_o,steady_state,convergence_time_s,0.021,27,27,not_applicable
p_and_o,steady_state,settling_time_s,0.021,27,27,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.661455868809498,27,27,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0866022163078181,27,27,not_applicable
p_and_o,steady_state,energy_yield_j,498.1588697051602,27,27,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9969956964850544,27,27,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.89644728511772,28,28,not_applicable
p_and_o,steady_state,convergence_time_s,0.016,28,28,not_applicable
p_and_o,steady_state,settling_time_s,0.016,28,28,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.6756196344772434,28,28,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0905649413949128,28,28,not_applicable
p_and_o,steady_state,energy_yield_j,499.1425885042561,28,28,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9989644728511772,28,28,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.87503983856986,29,29,not_applicable
p_and_o,steady_state,convergence_time_s,0.014,29,29,not_applicable
p_and_o,steady_state,settling_time_s,0.014,29,29,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.1627728837717086,29,29,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0495526813799813,29,29,not_applicable
p_and_o,steady_state,energy_yield_j,499.0356240568352,29,29,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9987503983856988,29,29,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.88735909789446,30,30,not_applicable
p_and_o,steady_state,convergence_time_s,0.013,30,30,not_applicable
p_and_o,steady_state,settling_time_s,0.013,30,30,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.0279408522915787,30,30,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0704556272172347,30,30,not_applicable
p_and_o,steady_state,energy_yield_j,499.0971784679764,30,30,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9988735909789446,30,30,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.78322889418725,31,31,not_applicable
p_and_o,steady_state,convergence_time_s,0.024,31,31,not_applicable
p_and_o,steady_state,settling_time_s,0.024,31,31,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.678568261797807,31,31,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0644576271412368,31,31,not_applicable
p_and_o,steady_state,energy_yield_j,498.5768814921335,31,31,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9978322889418724,31,31,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.86068647600528,32,32,not_applicable
p_and_o,steady_state,convergence_time_s,0.019,32,32,not_applicable
p_and_o,steady_state,settling_time_s,0.019,32,32,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.920861193091924,32,32,not_applicable
p_and_o,steady_state,oscillation_std_w,0.070404527319846,32,32,not_applicable
p_and_o,steady_state,energy_yield_j,498.9639060454451,32,32,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9986068647600528,32,32,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.8424984578478,33,33,not_applicable
p_and_o,steady_state,convergence_time_s,0.015,33,33,not_applicable
p_and_o,steady_state,settling_time_s,0.015,33,33,not_applicable
p_and_o,steady_state,oscillation_p2p_w,4.118242487414079,33,33,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0979701964634406,33,33,not_applicable
p_and_o,steady_state,energy_yield_j,498.8730277939195,33,33,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.998424984578478,33,33,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.90067318411064,34,34,not_applicable
p_and_o,steady_state,convergence_time_s,0.012,34,34,not_applicable
p_and_o,steady_state,settling_time_s,0.012,34,34,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.768743003175928,34,34,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0890114597819686,34,34,not_applicable
p_and_o,steady_state,energy_yield_j,499.16370363116414,34,34,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9990067318411064,34,34,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.8745195529494,35,35,not_applicable
p_and_o,steady_state,convergence_time_s,0.014,35,35,not_applicable
p_and_o,steady_state,settling_time_s,0.014,35,35,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.270561026285691,35,35,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0520392881446155,35,35,not_applicable
p_and_o,steady_state,energy_yield_j,499.0330243977041,35,35,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.998745195529494,35,35,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.9980706075174,36,36,not_applicable
p_and_o,steady_state,convergence_time_s,0.0,36,36,not_applicable
p_and_o,steady_state,settling_time_s,0.0,36,36,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.2601819848763114,36,36,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0790007577420325,36,36,not_applicable
p_and_o,steady_state,energy_yield_j,499.6503595969577,36,36,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.999980706075174,36,36,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.62656513800692,37,37,not_applicable
p_and_o,steady_state,convergence_time_s,0.024,37,37,not_applicable
p_and_o,steady_state,settling_time_s,0.024,37,37,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.2661184547274047,37,37,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0520678396602751,37,37,not_applicable
p_and_o,steady_state,energy_yield_j,497.79409536800375,37,37,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9962656513800692,37,37,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.71839611812588,38,38,not_applicable
p_and_o,steady_state,convergence_time_s,0.02,38,38,not_applicable
p_and_o,steady_state,settling_time_s,0.02,38,38,not_applicable
p_and_o,steady_state,oscillation_p2p_w,4.7789860458471765,38,38,not_applicable
p_and_o,steady_state,oscillation_std_w,0.1149706756185008,38,38,not_applicable
p_and_o,steady_state,energy_yield_j,498.25293804326566,38,38,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9971839611812588,38,38,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.96627680668898,39,39,not_applicable
p_and_o,steady_state,convergence_time_s,0.009,39,39,not_applicable
p_and_o,steady_state,settling_time_s,0.009,39,39,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.068297410694925,39,39,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0742102143438334,39,39,not_applicable
p_and_o,steady_state,energy_yield_j,499.4914986917387,39,39,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9996627680668898,39,39,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.96899523703507,40,40,not_applicable
p_and_o,steady_state,convergence_time_s,0.007,40,40,not_applicable
p_and_o,steady_state,settling_time_s,0.007,40,40,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.925360374592543,40,40,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0677969942684324,40,40,not_applicable
p_and_o,steady_state,energy_yield_j,499.505081600806,40,40,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9996899523703509,40,40,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.99780966604948,41,41,not_applicable
p_and_o,steady_state,convergence_time_s,0.0,41,41,not_applicable
p_and_o,steady_state,settling_time_s,0.0,41,41,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.469056828673416,41,41,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0844489194150573,41,41,not_applicable
p_and_o,steady_state,energy_yield_j,499.6490557768191,41,41,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9999780966604948,41,41,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.71847240525038,42,42,not_applicable
p_and_o,steady_state,convergence_time_s,0.02,42,42,not_applicable
p_and_o,steady_state,settling_time_s,0.02,42,42,not_applicable
p_and_o,steady_state,oscillation_p2p_w,4.765977544623979,42,42,not_applicable
p_and_o,steady_state,oscillation_std_w,0.114635103280726,42,42,not_applicable
p_and_o,steady_state,energy_yield_j,498.2533192195119,42,42,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9971847240525038,42,42,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.81664120534826,43,43,not_applicable
p_and_o,steady_state,convergence_time_s,0.022,43,43,not_applicable
p_and_o,steady_state,settling_time_s,0.022,43,43,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.7412901107755943,43,43,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0658770891787977,43,43,not_applicable
p_and_o,steady_state,energy_yield_j,498.7438294460805,43,43,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9981664120534828,43,43,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.99270266940772,44,44,not_applicable
p_and_o,steady_state,convergence_time_s,0.003,44,44,not_applicable
p_and_o,steady_state,settling_time_s,0.003,44,44,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.67090851511253,44,44,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0864374012952929,44,44,not_applicable
p_and_o,steady_state,energy_yield_j,499.623538157399,44,44,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9999270266940772,44,44,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.99007737085334,45,45,not_applicable
p_and_o,steady_state,convergence_time_s,0.004,45,45,not_applicable
p_and_o,steady_state,settling_time_s,0.004,45,45,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.8678165378641154,45,45,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0956280921946661,45,45,not_applicable
p_and_o,steady_state,energy_yield_j,499.6104205906422,45,45,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9999007737085336,45,45,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.04572611128614,46,46,not_applicable
p_and_o,steady_state,convergence_time_s,0.039,46,46,not_applicable
p_and_o,steady_state,settling_time_s,0.039,46,46,not_applicable
p_and_o,steady_state,oscillation_p2p_w,3.605498146408735,46,46,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0853984003169469,46,46,not_applicable
p_and_o,steady_state,energy_yield_j,494.891875087094,46,46,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9904572611128614,46,46,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.99871877833712,47,47,not_applicable
p_and_o,steady_state,convergence_time_s,0.0,47,47,not_applicable
p_and_o,steady_state,settling_time_s,0.0,47,47,not_applicable
p_and_o,steady_state,oscillation_p2p_w,0.420882177792464,47,47,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0099094157606046,47,47,not_applicable
p_and_o,steady_state,energy_yield_j,499.6535982472756,47,47,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9999871877833711,47,47,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.87493214729724,48,48,not_applicable
p_and_o,steady_state,convergence_time_s,0.014,48,48,not_applicable
p_and_o,steady_state,settling_time_s,0.014,48,48,not_applicable
p_and_o,steady_state,oscillation_p2p_w,2.16976944013021,48,48,not_applicable
p_and_o,steady_state,oscillation_std_w,0.0497339487719043,48,48,not_applicable
p_and_o,steady_state,energy_yield_j,499.0350859666224,48,48,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9987493214729724,48,48,not_applicable
p_and_o,steady_state,tracking_efficiency_pct,99.84914458410178,49,49,not_applicable
p_and_o,steady_state,convergence_time_s,0.019,49,49,not_applicable
p_and_o,steady_state,settling_time_s,0.019,49,49,not_applicable
p_and_o,steady_state,oscillation_p2p_w,4.800359993162857,49,49,not_applicable
p_and_o,steady_state,oscillation_std_w,0.1227428121450068,49,49,not_applicable
p_and_o,steady_state,energy_yield_j,498.9062358283601,49,49,not_applicable
p_and_o,steady_state,energy_yield_ratio,0.9984914458410178,49,49,not_applicable
p_and_o,multi_level_irradiance,tracking_efficiency_pct,95.33387405687328,0,0,not_applicable
p_and_o,multi_level_irradiance,convergence_time_s,2.011,0,0,not_applicable
